"Diện tích, dân số và mật độ dân số phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu"

" ";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019 (*)"
" ";"Diện tích(Km2)";"Diện tích(Km2)";"Diện tích(Km2)";"Diện tích(Km2)";"Diện tích(Km2)";"Diện tích(Km2)";"Diện tích(Km2)";"Diện tích(Km2)";"Diện tích(Km2)"
"Đồng bằng sông Hồng";21068.1;21050.9;21059.3;21060.0;21060.0;21260.3;21259.6;21260.0;21260.8
"Hà Nội";3328.9;3323.6;3324.3;3324.5;3324.5;3358.9;3358.6;3358.6;3358.6
"Vĩnh Phúc";1236.5;1236.5;1238.6;1237.5;1237.5;1235.3;1235.2;1235.2;1235.9
"Bắc Ninh";822.7;822.7;822.7;822.7;822.7;822.8;822.7;822.7;822.7
"Quảng Ninh";6102.4;6102.3;6102.4;6102.3;6102.3;6177.7;6177.8;6178.2;6178.2
"Hải Dương";1656.0;1656.0;1656.0;1656.0;1656.0;1668.3;1668.2;1668.2;1668.2
"Hải Phòng";1523.4;1523.9;1527.4;1527.4;1527.4;1561.7;1561.8;1561.8;1561.8
"Hưng Yên";926.0;926.0;926.0;926.0;926.0;930.3;930.2;930.2;930.2
"Thái Bình";1570.0;1570.0;1570.5;1570.8;1570.8;1586.5;1586.3;1586.4;1586.4
"Hà Nam";860.5;860.5;860.5;862.0;862.0;862.0;861.9;861.9;861.9
"Nam Định";1651.4;1652.6;1652.8;1653.2;1653.2;1668.5;1668.5;1668.5;1668.6
"Ninh Bình";1390.3;1376.7;1378.1;1377.6;1377.6;1386.8;1386.8;1386.8;1386.8
"Trung du và miền núi phía Bắc";95264.4;95272.3;95274.7;95266.8;95266.8;95222.3;95222.1;95222.2;95221.9
"Hà Giang";7914.9;7914.9;7914.9;7914.9;7914.9;7929.2;7929.5;7929.5;7929.5
"Cao Bằng";6707.9;6707.9;6707.9;6703.4;6703.4;6700.2;6700.3;6700.3;6700.3
"Bắc Kạn";4859.4;4859.4;4859.4;4859.4;4859.4;4860.0;4860.0;4860.0;4860.0
"Tuyên Quang";5867.3;5867.3;5867.3;5867.3;5867.3;5867.9;5867.9;5867.9;5867.9
"Lào Cai";6383.9;6383.9;6383.9;6383.9;6383.9;6364.0;6364.0;6364.0;6364.0
"Yên Bái";6886.3;6886.3;6886.3;6886.3;6886.3;6887.6;6887.7;6887.7;6887.5
"Thái Nguyên";3531.7;3534.7;3536.4;3533.2;3533.2;3526.7;3526.6;3526.6;3526.6
"Lạng Sơn";8320.8;8320.8;8320.8;8320.8;8320.8;8310.2;8310.1;8310.1;8310.1
"Bắc Giang";3844.0;3848.9;3849.7;3849.5;3849.5;3895.5;3895.5;3895.6;3895.6
"Phú Thọ";3533.4;3533.4;3533.3;3533.3;3533.3;3534.4;3534.6;3534.6;3534.6
"Điện Biên";9562.9;9562.9;9562.9;9562.9;9562.9;9540.9;9541.3;9541.2;9541.3
"Lai Châu";9068.8;9068.8;9068.8;9068.8;9068.8;9069.5;9068.8;9068.8;9068.8
"Sơn La";14174.4;14174.4;14174.4;14174.4;14174.4;14123.5;14123.5;14123.5;14123.5
"Hoà Bình";4608.7;4608.7;4608.7;4608.7;4608.7;4590.7;4590.6;4590.6;4590.6
"Bắc Trung Bộ và Duyên hải miền Trung";95838.0;95835.8;95834.5;95832.4;95832.4;95871.3;95871.9;95876.0;95875.8
"Thanh Hoá";11131.9;11132.2;11130.5;11129.5;11129.5;11114.5;11114.7;11114.6;11114.6
"Nghệ An";16493.7;16490.9;16492.7;16490.0;16490.0;16481.7;16481.6;16481.6;16481.4
"Hà Tĩnh";5997.2;5997.8;5997.3;5997.8;5997.8;5990.6;5990.7;5990.7;5990.7
"Quảng Bình";8065.3;8065.3;8065.3;8065.3;8065.3;8000.1;8000.0;8000.0;8000.0
"Quảng Trị";4739.8;4739.8;4739.8;4739.8;4739.8;4621.8;4621.7;4621.7;4621.7
"Thừa Thiên Huế";5033.2;5033.2;5033.2;5033.2;5033.2;4902.4;4902.5;4902.4;4902.4
"Đà Nẵng";1285.4;1285.4;1285.4;1285.4;1285.4;1284.7;1284.9;1284.9;1284.9
"Quảng Nam";10438.4;10438.4;10438.4;10438.4;10438.4;10575.0;10574.7;10574.7;10574.7
"Quảng Ngãi";5153.0;5153.0;5152.0;5152.7;5152.7;5152.3;5152.5;5155.8;5155.8
"Bình Định";6050.6;6050.6;6050.6;6050.6;6050.6;6066.1;6066.2;6066.2;6066.2
"Phú Yên";5060.6;5060.6;5060.5;5060.6;5060.6;5023.5;5023.4;5023.4;5023.4
"Khánh Hoà";5217.7;5217.7;5217.7;5217.7;5217.7;5137.7;5137.8;5137.8;5137.8
"Ninh Thuận";3358.3;3358.3;3358.3;3358.3;3358.3;3355.2;3355.3;3355.3;3355.3
"Bình Thuận";7812.9;7812.8;7812.8;7813.1;7813.1;7944.0;7943.9;7943.9;7943.9
"Tây Nguyên";54641.0;54641.1;54641.1;54641.0;54641.0;54508.0;54508.3;54508.3;54508.3
"Kon Tum";9689.6;9689.6;9689.6;9689.6;9689.6;9674.2;9674.2;9674.2;9674.2
"Gia Lai";15536.9;15536.9;15536.9;15536.9;15536.9;15510.8;15511.0;15511.0;15511.0
"Đắk Lắk";13125.4;13125.4;13125.4;13125.4;13125.4;13030.5;13030.5;13030.5;13030.5
"Đắk Nông";6515.6;6515.6;6515.6;6515.6;6515.6;6509.3;6509.3;6509.3;6509.3
"Lâm Đồng";9773.5;9773.5;9773.6;9773.5;9773.5;9783.2;9783.3;9783.3;9783.3
"Đông Nam Bộ";23597.9;23598.0;23590.8;23590.7;23590.7;23552.6;23552.6;23552.8;23552.8
"Bình Phước";6871.5;6871.5;6871.5;6871.5;6871.5;6876.6;6876.8;6876.8;6876.8
"Tây Ninh";4039.7;4039.7;4032.6;4032.6;4032.6;4041.4;4041.3;4041.3;4041.3
"Bình Dương";2694.4;2694.4;2694.4;2694.4;2694.4;2694.7;2694.6;2694.6;2694.6
"Đồng Nai";5907.2;5907.2;5907.2;5907.2;5907.2;5863.6;5863.6;5863.6;5863.6
"Bà Rịa - Vũng Tàu";1989.5;1989.5;1989.5;1989.5;1989.5;1980.8;1981.0;1981.0;1981.0
"TP.Hồ Chí Minh";2095.6;2095.6;2095.6;2095.5;2095.5;2061.4;2061.2;2061.4;2061.4
"Đồng bằng sông Cửu Long";40548.2;40553.1;40572.0;40576.0;40576.0;40816.3;40816.3;40816.4;40816.4
